order_id,customer_id,customer_name,customer_email,product_name,category,region,state,quantity,unit_price,discount_rate,net_revenue,payment_method,order_date,delivery_days,returned,salesperson_id,year,month,quarter,day_of_week,gross_revenue,comparison
ORD-100000,CUST-18870,Daniel Lee,julie38@example.net,T-Shirt,Clothing,Ibadan,Ibadan,8,7600.0,0.0,60800.0,Cash,2022-05-17,10,No,SP-002,2022,May,2,Tuesday,60800.0,True
ORD-100001,CUST-18856,Lisa Holmes,isanchez@example.net,Jacket,Clothing,Port Harcourt,Port Harcourt,20,6000.0,0.0,120000.0,USSD,2023-11-01,4,No,SP-018,2023,November,4,Wednesday,120000.0,True
ORD-100002,CUST-12029,Mr. Paul Gordon,cirwin@example.net,Headphones,Electronics,Kaduna,Kaduna,9,49000.0,0.2,352800.0,Cash,2022-11-28,2,No,SP-023,2022,November,4,Monday,441000.0,False
ORD-100003,CUST-03582,Anthony Kelly,bradley66@example.net,Tennis Racket,Sports,Lagos,Lagos,18,11100.0,0.05,189810.0,POS,2023-07-30,5,No,SP-040,2023,July,3,Sunday,199800.0,False
ORD-100004,CUST-08628,Rebecca Flores,oclark@example.org,Football,Sports,Abuja,Abuja,8,25100.0,0.0,200800.0,Cash,2021-04-04,7,No,SP-041,2021,April,2,Sunday,200800.0,True
ORD-100005,CUST-03339,Anita Houston,sheila47@example.org,Dumbbells,Sports,Enugu,Enugu,7,22900.0,0.15,136255.0,POS,2022-12-29,11,No,SP-047,2022,December,4,Thursday,160300.0,False
ORD-100006,CUST-19250,Mr. Matthew Day,osbornestephen@example.com,Knife Set,Home & Kitchen,Benin City,Benin City,9,37200.0,0.15,284580.0,Card,2023-02-17,11,No,SP-050,2023,February,1,Friday,334800.0,False
ORD-100007,CUST-19585,Todd Mcfarland,utucker@example.com,Smart TV,Electronics,Lagos,Lagos,13,59100.0,0.0,768300.0,Online,2022-10-09,6,No,SP-032,2022,October,4,Sunday,768300.0,True
ORD-100008,CUST-18661,Karen Summers,khartman@example.net,Children Book,Books,Kano,Kano,5,4000.0,0.1,18000.0,Transfer,2022-06-27,12,No,SP-038,2022,June,2,Monday,20000.0,False
ORD-100009,CUST-02543,Michael Marsh,baileysarah@example.net,Cookbook,Books,Port Harcourt,Port Harcourt,17,5600.0,0.2,76160.0,Cash,2021-10-11,3,No,SP-044,2021,October,4,Monday,95200.0,False
ORD-100010,CUST-09238,Donald Thomas,marissa27@example.net,Data Science Book,Books,Kaduna,Kaduna,20,8700.0,0.1,156600.0,POS,2023-02-21,14,Yes,SP-044,2023,February,1,Tuesday,174000.0,False
ORD-100011,CUST-01106,Caitlyn Smith,kathryn44@example.org,Sneakers,Clothing,Enugu,Enugu,10,11900.0,0.05,113050.0,Online,2021-08-17,12,No,SP-033,2021,August,3,Tuesday,119000.0,False
ORD-100012,CUST-06293,Andrea Reed,sdean@example.net,Pasta,Food & Beverage,Ibadan,Ibadan,20,3200.0,0.0,64000.0,POS,2023-11-06,13,Yes,SP-001,2023,November,4,Monday,64000.0,True
ORD-100013,CUST-11076,Travis Edwards,valeriehall@example.org,Jump Rope,Sports,Lagos,Lagos,12,27400.0,0.2,263040.0,Card,2021-08-18,1,No,SP-037,2021,August,3,Wednesday,328800.0,False
ORD-100014,CUST-16574,Madison Suarez,henryroberts@example.net,Jeans,Clothing,Benin City,Benin City,18,16600.0,0.0,298800.0,POS,2021-05-22,3,No,SP-039,2021,May,2,Saturday,298800.0,True
ORD-100015,CUST-13236,Jeffrey Moore,jamesvargas@example.com,History,Books,Port Harcourt,Port Harcourt,13,8700.0,0.15,96135.0,USSD,2022-10-01,9,No,SP-016,2022,October,4,Saturday,113100.0,False
ORD-100016,CUST-08216,Randy Khan,sarahandrews@example.com,Microwave,Home & Kitchen,Enugu,Enugu,19,25500.0,0.1,436050.0,Cash,2021-02-13,2,No,SP-004,2021,February,1,Saturday,484500.0,False
ORD-100017,CUST-16906,Richard Watson,robert25@example.com,Microwave,Home & Kitchen,Lagos,Lagos,3,24400.0,0.0,73200.0,Card,2022-11-08,9,No,SP-037,2022,November,4,Tuesday,73200.0,True
ORD-100018,CUST-15124,Elizabeth Rodriguez,sarahcunningham@example.org,RC Car,Toys,Benin City,Benin City,7,5200.0,0.15,30940.0,Transfer,2023-04-14,7,No,SP-047,2023,April,2,Friday,36400.0,False
ORD-100019,CUST-09147,Mark Nguyen,emily45@example.net,Smartphone,Electronics,Lagos,Lagos,11,107100.0,0.0,1178100.0,Card,2023-04-05,4,No,SP-009,2023,April,2,Wednesday,1178100.0,True
ORD-100020,CUST-15520,Jennifer Macias,ogonzales@example.net,Self-Help,Books,Ibadan,Ibadan,8,8000.0,0.0,64000.0,POS,2023-08-06,2,No,SP-035,2023,August,3,Sunday,64000.0,True
ORD-100021,CUST-14141,Sally Smith,washingtonmaria@example.com,Smartphone,Electronics,Port Harcourt,Port Harcourt,14,78700.0,0.0,1101800.0,Cash,2021-12-07,3,No,SP-025,2021,December,4,Tuesday,1101800.0,True
ORD-100022,CUST-06072,Thomas Johnson,qhall@example.com,Hair Dye,Health & Beauty,Ibadan,Ibadan,18,9500.0,0.05,162450.0,Card,2023-05-17,5,No,SP-004,2023,May,2,Wednesday,171000.0,False
ORD-100023,CUST-18403,Ann Martinez,jasonshepherd@example.org,Charger,Electronics,Lagos,Lagos,19,77900.0,0.2,1184080.0,Card,2021-04-13,1,Yes,SP-006,2021,April,2,Tuesday,1480100.0,False
ORD-100024,CUST-09067,Raymond Gonzales,hannah51@example.com,Pasta,Food & Beverage,Abuja,Abuja,13,2700.0,0.1,31590.0,POS,2022-04-27,10,No,SP-006,2022,April,2,Wednesday,35100.0,False
ORD-100025,CUST-05288,Robin Johnson,bellrebekah@example.org,Cookbook,Books,Ibadan,Ibadan,11,4000.0,0.05,41800.0,Online,2022-02-23,11,No,SP-021,2022,February,1,Wednesday,44000.0,False
ORD-100026,CUST-09690,Catherine Lee,losborn@example.org,T-Shirt,Clothing,Benin City,Benin City,3,13300.0,0.1,35910.0,Card,2021-07-24,6,No,SP-016,2021,July,3,Saturday,39900.0,False
ORD-100027,CUST-18332,Penny Oliver,craig76@example.com,Tennis Racket,Sports,Kano,Kano,18,23600.0,0.1,382320.0,Cash,2023-06-17,11,No,SP-020,2023,June,2,Saturday,424800.0,False
ORD-100028,CUST-09924,Dustin Price,andrewcook@example.net,Dress,Clothing,Ibadan,Ibadan,4,16300.0,0.0,65200.0,Transfer,2021-08-25,10,No,SP-022,2021,August,3,Wednesday,65200.0,True
ORD-100029,CUST-10066,Elaine Morgan,wendy48@example.org,Kettle,Home & Kitchen,Benin City,Benin City,2,13000.0,0.05,24700.0,Cash,2022-05-30,1,No,SP-009,2022,May,2,Monday,26000.0,False
ORD-100030,CUST-05884,Mark Wyatt,cwerner@example.com,Body Lotion,Health & Beauty,Benin City,Benin City,18,3600.0,0.0,64800.0,POS,2023-05-26,1,No,SP-038,2023,May,2,Friday,64800.0,True
ORD-100031,CUST-02307,Kellie Reynolds,williammorales@example.net,Cornflakes,Food & Beverage,Kano,Kano,10,4100.0,0.2,32800.0,Transfer,2021-03-27,4,No,SP-043,2021,March,1,Saturday,41000.0,False
ORD-100032,CUST-06801,Donna Smith,mglover@example.net,Sandals,Clothing,Kaduna,Kaduna,8,18100.0,0.2,115840.0,USSD,2021-11-13,1,No,SP-022,2021,November,4,Saturday,144800.0,False
